sample,mean_abs,p95_abs,max_abs,l2
34,4.5638424158e-01,2.4218008518e+00,3.4135833740e+01,1.7175011635e+00
35,5.5107104778e-01,3.3679771423e+00,4.4922443390e+01,2.0530555248e+00
36,4.8829254508e-01,2.9881069660e+00,3.2958549500e+01,1.4788900614e+00
37,2.3315656185e-01,9.2827820778e-01,3.3844589233e+01,1.1869900227e+00
38,4.2420414090e-01,2.4300429821e+00,5.3145721436e+01,1.7753578424e+00
39,2.7017101645e-01,1.3368531466e+00,2.6244903564e+01,1.0615448952e+00
40,2.0158150792e-01,6.9561564922e-01,4.0272647858e+01,1.0246840715e+00
41,3.2916104794e-01,1.7628201246e+00,4.7673370361e+01,1.5104113817e+00
42,4.1014358401e-01,2.5471305847e+00,3.4346870422e+01,1.3928598166e+00
43,2.0765665174e-01,6.6772937775e-01,3.0714410782e+01,1.0127834082e+00
44,1.7953495681e-01,5.8660060167e-01,2.8561693192e+01,8.6649578810e-01
45,2.9183143377e-01,1.3046281338e+00,2.5781469345e+01,1.3122572899e+00
46,4.5816028118e-01,2.8480768204e+00,2.9482376099e+01,1.4932450056e+00
47,3.0925899744e-01,1.4912348986e+00,2.6503528595e+01,1.2951947451e+00
48,5.6780791283e-01,3.2936544418e+00,3.0089153290e+01,1.9142656326e+00
49,3.9397054911e-01,2.3797562122e+00,3.9586471558e+01,1.3973298073e+00
50,3.4527957439e-01,1.5269292593e+00,3.4104385376e+01,1.4920868874e+00
51,3.8562360406e-01,2.4495863914e+00,3.3748561859e+01,1.2524406910e+00
52,4.4569286704e-01,2.6519110203e+00,3.0470764160e+01,1.4867476225e+00
53,5.2060091496e-01,3.0457000732e+00,3.6005771637e+01,1.6657774448e+00
54,3.2012367249e-01,1.7890118361e+00,2.5280550003e+01,1.2190911770e+00
55,3.5936105251e-01,1.9043166637e+00,2.6900915146e+01,1.4311723709e+00
56,2.4872516096e-01,1.2207361460e+00,1.2520462036e+01,9.7543460131e-01
57,2.5005447865e-01,1.0335508585e+00,3.0817209244e+01,1.1233569384e+00
58,2.6634287834e-01,1.2743740082e+00,3.0209564209e+01,1.0898483992e+00
59,2.4779652059e-01,1.2109662294e+00,1.2673379898e+01,9.3893641233e-01
60,2.5989514589e-01,1.4075080156e+00,3.4837413788e+01,9.8032975197e-01
61,5.8649587631e-01,3.6697292328e+00,3.7399814606e+01,1.7862201929e+00
62,2.5449073315e-01,9.7488379478e-01,3.4676307678e+01,1.1254492998e+00
63,4.0467438102e-01,2.3620347977e+00,3.0039022446e+01,1.4307378531e+00
64,5.6949043274e-01,3.5445597172e+00,3.6084564209e+01,1.7783393860e+00
65,2.8335353732e-01,1.3437315226e+00,4.3347286224e+01,1.2523952723e+00
66,2.9855805635e-01,1.2041845322e+00,2.6666877747e+01,1.3534872532e+00
67,4.9284338951e-01,2.6791231632e+00,5.6818412781e+01,1.7565681934e+00
68,3.3853918314e-01,1.9077557325e+00,3.0584041595e+01,1.2697942257e+00
69,2.4922855198e-01,1.1504552364e+00,3.6443420410e+01,1.0951073170e+00
70,5.3719359636e-01,3.2884893417e+00,4.0840538025e+01,1.6877354383e+00
71,4.0095177293e-01,2.5615210533e+00,2.9880306244e+01,1.3604073524e+00
72,3.5525140166e-01,1.9011479616e+00,4.8120338440e+01,1.5459394455e+00
73,2.0685960352e-01,5.8632034063e-01,3.5885307312e+01,1.0548264980e+00
74,3.1868204474e-01,1.6721807718e+00,2.9230705261e+01,1.2693347931e+00
75,6.7095696926e-01,3.9666273594e+00,4.4426521301e+01,1.8668136597e+00
76,3.3989760280e-01,1.9119001627e+00,2.3326911926e+01,1.1955069304e+00
77,4.5464181900e-01,2.7691695690e+00,1.7512004852e+01,1.5464160442e+00
78,1.9769899547e-01,6.4367038012e-01,2.6666772842e+01,9.3462300301e-01
79,2.4979904294e-01,9.1065758467e-01,3.0857469559e+01,1.2775820494e+00
80,1.9504933059e-01,7.7813899517e-01,1.9085239410e+01,8.2105618715e-01
81,4.2757657170e-01,2.6150143147e+00,3.6510314941e+01,1.5465489626e+00
82,3.7895625830e-01,2.1379563808e+00,2.6088468552e+01,1.2374480963e+00
83,2.7070465684e-01,1.1901227236e+00,3.9240669250e+01,1.2360143661e+00
